Success 1: checkpoint_epoch_1_20250320_171718: Pat 6, 40 Epochs, .0001 LR, 32 Batch Size, 4 Layers, .3 Dropout, 16-128 Conv, 2 Linear 128-256, Fold 1:

Epoch [30/50], Train Loss: 0.3186, Train Acc: 87.53%, Val Loss: 0.3154, Val Acc: 87.95%
Epoch [31/50], Train Loss: 0.3187, Train Acc: 87.75%, Val Loss: 0.3034, Val Acc: 87.78%
Epoch [32/50], Train Loss: 0.3193, Train Acc: 87.52%, Val Loss: 0.3069, Val Acc: 87.72%
Early stopping triggered.
Training on fold 2/5...
Epoch [1/50], Train Loss: 1.0761, Train Acc: 40.88%, Val Loss: 1.0178, Val Acc: 46.82%
Epoch [2/50], Train Loss: 0.9788, Train Acc: 49.56%, Val Loss: 1.0112, Val Acc: 47.93%
Epoch [3/50], Train Loss: 0.8822, Train Acc: 56.71%, Val Loss: 0.8336, Val Acc: 60.34%
Epoch [4/50], Train Loss: 0.7888, Train Acc: 62.94%, Val Loss: 0.7465, Val Acc: 64.12%
Epoch [5/50], Train Loss: 0.6965, Train Acc: 68.66%, Val Loss: 0.6653, Val Acc: 69.51%
Epoch [6/50], Train Loss: 0.6022, Train Acc: 73.36%, Val Loss: 0.5607, Val Acc: 76.14%
Epoch [7/50], Train Loss: 0.5557, Train Acc: 76.00%, Val Loss: 0.5480, Val Acc: 76.07%
Epoch [8/50], Train Loss: 0.5262, Train Acc: 77.79%, Val Loss: 0.5387, Val Acc: 76.24%
Epoch [9/50], Train Loss: 0.5031, Train Acc: 78.62%, Val Loss: 0.4537, Val Acc: 80.82%
Epoch [10/50], Train Loss: 0.4674, Train Acc: 80.65%, Val Loss: 0.4280, Val Acc: 82.53%
Epoch [11/50], Train Loss: 0.4275, Train Acc: 82.41%, Val Loss: 0.4204, Val Acc: 82.70%
Epoch [12/50], Train Loss: 0.4212, Train Acc: 82.60%, Val Loss: 0.4163, Val Acc: 82.40%
Epoch [13/50], Train Loss: 0.4159, Train Acc: 83.02%, Val Loss: 0.3832, Val Acc: 84.37%
Epoch [14/50], Train Loss: 0.3982, Train Acc: 83.93%, Val Loss: 0.3875, Val Acc: 84.47%
Epoch [15/50], Train Loss: 0.3960, Train Acc: 83.66%, Val Loss: 0.3466, Val Acc: 86.85%
Epoch [16/50], Train Loss: 0.3642, Train Acc: 85.30%, Val Loss: 0.3836, Val Acc: 84.40%
Epoch [17/50], Train Loss: 0.3633, Train Acc: 85.44%, Val Loss: 0.3673, Val Acc: 84.57%
Epoch [18/50], Train Loss: 0.3627, Train Acc: 85.39%, Val Loss: 0.3534, Val Acc: 84.94%
Epoch [19/50], Train Loss: 0.3595, Train Acc: 85.67%, Val Loss: 0.3220, Val Acc: 87.28%
Epoch [20/50], Train Loss: 0.3523, Train Acc: 86.01%, Val Loss: 0.3351, Val Acc: 87.08%
Epoch [21/50], Train Loss: 0.3464, Train Acc: 86.19%, Val Loss: 0.3351, Val Acc: 87.28%
Epoch [22/50], Train Loss: 0.3454, Train Acc: 86.43%, Val Loss: 0.3109, Val Acc: 87.65%
Epoch [23/50], Train Loss: 0.3420, Train Acc: 86.36%, Val Loss: 0.3200, Val Acc: 86.71%
Epoch [24/50], Train Loss: 0.3383, Train Acc: 86.46%, Val Loss: 0.3221, Val Acc: 86.78%
Epoch [25/50], Train Loss: 0.3307, Train Acc: 86.53%, Val Loss: 0.3080, Val Acc: 87.72%
Epoch [26/50], Train Loss: 0.3350, Train Acc: 86.99%, Val Loss: 0.3141, Val Acc: 87.72%
Epoch [27/50], Train Loss: 0.3362, Train Acc: 86.51%, Val Loss: 0.3073, Val Acc: 88.42%
Epoch [28/50], Train Loss: 0.3322, Train Acc: 86.63%, Val Loss: 0.2929, Val Acc: 88.89%
Epoch [29/50], Train Loss: 0.3300, Train Acc: 86.77%, Val Loss: 0.3177, Val Acc: 87.12%
Epoch [30/50], Train Loss: 0.3249, Train Acc: 86.98%, Val Loss: 0.3191, Val Acc: 86.88%
Epoch [31/50], Train Loss: 0.3145, Train Acc: 87.62%, Val Loss: 0.3066, Val Acc: 87.55%
Epoch [32/50], Train Loss: 0.3287, Train Acc: 86.96%, Val Loss: 0.3058, Val Acc: 87.42%
Epoch [33/50], Train Loss: 0.3246, Train Acc: 86.93%, Val Loss: 0.3177, Val Acc: 87.12%
Epoch [34/50], Train Loss: 0.3230, Train Acc: 87.42%, Val Loss: 0.3011, Val Acc: 88.72%
Early stopping triggered.
Training on fold 3/5...
Epoch [1/50], Train Loss: 1.0667, Train Acc: 42.50%, Val Loss: 0.9907, Val Acc: 50.10%
Epoch [2/50], Train Loss: 0.9588, Train Acc: 51.02%, Val Loss: 0.9813, Val Acc: 51.44%
